Electrode,Cluster,onset_start_ms,onset_end_ms,onset_duration_ms,span_start_ms,span_end_ms,span_duration_ms,Num_Spikes,RS,Method
microGPi1_L_1_CommonFiltered,1,1540.83328,1894.1952,353.36192000000005,1540.83328,1894.1952,353.36192000000005,7,4.23556011538778,RankSurprise
microGPi1_L_1_CommonFiltered,1,6069.78048,6115.45088,45.67039999999997,6069.78048,6115.45088,45.67039999999997,4,6.468390849411442,RankSurprise
microGPi1_L_1_CommonFiltered,1,9456.39424,10490.59328,1034.1990399999995,9456.39424,10490.59328,1034.1990399999995,18,8.242657372478751,RankSurprise
microGPi1_L_1_CommonFiltered,1,15977.18528,17052.4672,1075.2819199999994,15977.18528,17052.4672,1075.2819199999994,21,11.874942692829649,RankSurprise
microGPi1_L_1_CommonFiltered,1,30509.54752,30578.11456,68.56704000000173,30509.54752,30578.11456,68.56704000000173,4,5.218386707178315,RankSurprise
microGPi1_L_1_CommonFiltered,1,47521.91488,47555.584,33.66912000000593,47521.91488,47555.584,33.66912000000593,3,4.39956328654891,RankSurprise
microGPi1_L_1_CommonFiltered,1,48337.79712,48365.9776,28.18047999999544,48337.79712,48365.9776,28.18047999999544,3,4.783781746454197,RankSurprise
microGPi1_L_1_CommonFiltered,1,63096.91392,63392.72704,295.8131199999989,63096.91392,63392.72704,295.8131199999989,6,3.5621477008119165,RankSurprise
microGPi1_L_1_CommonFiltered,1,70517.71904,72270.0288,1752.3097600000037,70517.71904,72270.0288,1752.3097600000037,19,4.516314752208501,RankSurprise
microGPi1_L_1_CommonFiltered,1,74616.05376,74634.11712,18.063360000000102,74616.05376,74634.11712,18.063360000000102,4,9.618716457285604,RankSurprise
microGPi1_L_1_CommonFiltered,1,77172.08064,77452.94336,280.86272000000463,77172.08064,77452.94336,280.86272000000463,7,5.262864947055572,RankSurprise
microGPi1_L_1_CommonFiltered,1,82202.78784,82726.37952,523.5916799999977,82202.78784,82726.37952,523.5916799999977,8,3.5913483131654385,RankSurprise
microGPi1_L_1_CommonFiltered,1,84637.04064,84646.01088,8.970239999995101,84637.04064,84646.01088,8.970239999995101,3,7.235871758253863,RankSurprise
microGPi1_L_1_CommonFiltered,1,85154.57024,85203.92704,49.35679999999411,85154.57024,85203.92704,49.35679999999411,3,3.745385493361839,RankSurprise
microGPi1_L_1_CommonFiltered,1,92594.50368,92947.94752,353.4438400000072,92594.50368,92947.94752,353.4438400000072,8,5.839184800052073,RankSurprise
microGPi1_L_1_CommonFiltered,1,101911.18336,102029.96736,118.78399999999965,101911.18336,102029.96736,118.78399999999965,4,3.633680095724504,RankSurprise
microGPi1_L_1_CommonFiltered,1,107033.02656,107203.584,170.55744000000414,107033.02656,107203.584,170.55744000000414,6,6.31664144067274,RankSurprise
microGPi1_L_1_CommonFiltered,1,108209.3568,108255.39584,46.0390400000033,108209.3568,108255.39584,46.0390400000033,3,3.8602117086766565,RankSurprise
microGPi1_L_1_CommonFiltered,1,124222.01344,124263.30112,41.28768000000855,124222.01344,124263.30112,41.28768000000855,4,6.739744730263599,RankSurprise
microGPi1_L_1_CommonFiltered,1,128751.45216,129745.34656,993.8944000000047,128751.45216,129745.34656,993.8944000000047,16,7.956711903797321,RankSurprise
